site_id,location,vegetation_density,soil_carbon_pct,water_salinity,area_hectares,measurement_date
SB-001,Sundarbans,0.82,8.4,28.5,120.0,2024-01-15
SB-002,Sundarbans,0.75,7.9,30.1,95.5,2024-01-15
CL-001,Chilika,0.65,5.2,22.0,85.0,2024-01-16
CL-002,Chilika,0.58,4.8,20.5,70.0,2024-01-16
PC-001,Pichavaram,0.88,9.1,26.8,140.0,2024-01-17
PC-002,Pichavaram,0.79,8.6,25.4,110.5,2024-01-17
BK-001,Bhitarkanika,0.91,10.2,29.3,200.0,2024-01-18
BK-002,Bhitarkanika,0.84,9.5,27.8,175.0,2024-01-18
GD-001,Godavari Delta,0.63,5.8,32.1,90.0,2024-01-19
GD-002,Godavari Delta,2.15,18.7,8.2,45.0,2024-01-19
